problem,method,family,instance_id,n,objective_value,optimality_gap,runtime_seconds
scheduling,Greedy_BR,sparse,1003,20,682.0,0.08086253369272237,1.829999382607639e-05
scheduling,ML_RF,sparse,1003,20,736,0.008086253369272238,0.02713190000213217
scheduling,ML_MLP,sparse,1003,20,736,0.008086253369272238,0.0011918999953195453
scheduling,DP,sparse,1004,20,719.0,0.0,2.1900006686337292e-05
scheduling,Greedy_EF,sparse,1004,20,599.0,0.16689847009735745,1.6000005416572094e-05
scheduling,Greedy_HW,sparse,1004,20,719.0,0.0,1.1900003300979733e-05
scheduling,Greedy_BR,sparse,1004,20,693.0,0.03616133518776078,1.789999078027904e-05
scheduling,ML_RF,sparse,1004,20,719,0.0,0.026034900001832284
scheduling,ML_MLP,sparse,1004,20,719,0.0,0.00122900000133086
scheduling,DP,sparse,1005,20,644.0,0.0,2.1500003640539944e-05
scheduling,Greedy_EF,sparse,1005,20,586.0,0.09006211180124224,1.5199999324977398e-05
scheduling,Greedy_HW,sparse,1005,20,644.0,0.0,1.0700008715502918e-05
scheduling,Greedy_BR,sparse,1005,20,617.0,0.04192546583850932,1.6399993910454214e-05
scheduling,ML_RF,sparse,1005,20,644,0.0,0.025911299992003478
scheduling,ML_MLP,sparse,1005,20,644,0.0,0.0010083999950438738
scheduling,DP,sparse,1006,20,845.0,0.0,2.230000973213464e-05
scheduling,Greedy_EF,sparse,1006,20,678.0,0.19763313609467456,1.68999977177009e-05
scheduling,Greedy_HW,sparse,1006,20,778.0,0.07928994082840236,1.3500000932253897e-05
scheduling,Greedy_BR,sparse,1006,20,836.0,0.010650887573964497,1.920000067912042e-05
scheduling,ML_RF,sparse,1006,20,845,0.0,0.028187400006572716
scheduling,ML_MLP,sparse,1006,20,845,0.0,0.0013811999961035326
scheduling,DP,sparse,1007,20,865.0,0.0,2.230000973213464e-05
scheduling,Greedy_EF,sparse,1007,20,773.0,0.10635838150289018,1.6999998479150236e-05
scheduling,Greedy_HW,sparse,1007,20,865.0,0.0,1.3299999409355223e-05
scheduling,Greedy_BR,sparse,1007,20,865.0,0.0,1.889999839477241e-05
scheduling,ML_RF,sparse,1007,20,865,0.0,0.026242699997965246
scheduling,ML_MLP,sparse,1007,20,865,0.0,0.0008010000019567087
scheduling,DP,sparse,1008,20,886.0,0.0,2.3100001271814108e-05
scheduling,Greedy_EF,sparse,1008,20,868.0,0.020316027088036117,1.6400008462369442e-05
scheduling,Greedy_HW,sparse,1008,20,886.0,0.0,1.4099990949034691e-05
scheduling,Greedy_BR,sparse,1008,20,886.0,0.0,1.8799997633323073e-05
scheduling,ML_RF,sparse,1008,20,886,0.0,0.02651549999427516
scheduling,ML_MLP,sparse,1008,20,886,0.0,0.0008221000025514513
scheduling,DP,sparse,1009,20,697.0,0.0,2.3100001271814108e-05
scheduling,Greedy_EF,sparse,1009,20,601.0,0.13773314203730272,1.6099991626106203e-05
scheduling,Greedy_HW,sparse,1009,20,697.0,0.0,1.2600008631125093e-05
scheduling,Greedy_BR,sparse,1009,20,678.0,0.027259684361549498,1.929998688865453e-05
scheduling,ML_RF,sparse,1009,20,697,0.0,0.026003599996329285
scheduling,ML_MLP,sparse,1009,20,697,0.0,0.0011387999984435737
scheduling,DP,sparse,1010,20,922.0,0.0,2.3300002794712782e-05
scheduling,Greedy_EF,sparse,1010,20,857.0,0.07049891540130152,1.6900012269616127e-05
scheduling,Greedy_HW,sparse,1010,20,922.0,0.0,1.4300007023848593e-05
scheduling,Greedy_BR,sparse,1010,20,845.0,0.08351409978308026,1.8399994587525725e-05
scheduling,ML_RF,sparse,1010,20,922,0.0,0.027129299996886402
scheduling,ML_MLP,sparse,1010,20,922,0.0,0.0010624999995343387
scheduling,DP,sparse,1011,20,739.0,0.0,2.239999594166875e-05
scheduling,Greedy_EF,sparse,1011,20,670.0,0.09336941813261164,1.6599995433352888e-05
scheduling,Greedy_HW,sparse,1011,20,739.0,0.0,1.440000778529793e-05
scheduling,Greedy_BR,sparse,1011,20,670.0,0.09336941813261164,1.8499995348975062e-05
scheduling,ML_RF,sparse,1011,20,739,0.0,0.028231600008439273
scheduling,ML_MLP,sparse,1011,20,739,0.0,0.0007299999997485429
scheduling,DP,sparse,1012,20,708.0,0.0,2.239999594166875e-05
scheduling,Greedy_EF,sparse,1012,20,628.0,0.11299435028248588,1.6400008462369442e-05
scheduling,Greedy_HW,sparse,1012,20,708.0,0.0,1.2100004823878407e-05
scheduling,Greedy_BR,sparse,1012,20,629.0,0.1115819209039548,1.7800004570744932e-05
scheduling,ML_RF,sparse,1012,20,700,0.011299435028248588,0.026452500009327196
scheduling,ML_MLP,sparse,1012,20,700,0.011299435028248588,0.0007868999964557588
